id,title,year,rating,popularity
158,Casper,1995,2.68031,12589
159,Clockers,1995,3.28541,2209
160,Congo,1995,2.35388,13853
161,Crimson Tide,1995,3.63093,22340
162,Crumb,1994,3.84809,5633
163,Desperado,1995,3.26737,14216
164,Devil in a Blue Dress,1995,3.32751,4011
165,Die Hard: With a Vengeance,1995,3.36067,33731
167,Feast of July,1995,2.79887,72
168,First Knight,1995,2.82287,11309
169,Free Willy 2: The Adventure Home,1995,1.92184,3172
170,Hackers,1995,3.00004,7721
171,Jeffrey,1995,3.41163,1297
172,Johnny Mnemonic,1995,2.50568,12156
173,Judge Dredd,1995,2.28914,14758
174,Jury Duty,1995,2.14057,1932
175,Kids,1995,3.27017,4744
176,Living in Oblivion,1995,3.72334,2203
177,Lord of Illusions,1995,2.65809,2149
178,Love & Human Remains,1993,3.19288,453
179,Mad Love,1995,2.49319,1119
180,Mallrats,1995,3.38847,8366
181,Mighty Morphin Power Rangers: The Movie,1995,1.61392,2539
182,Moonlight and Valentino,1995,2.91761,636
183,Mute Witness,1994,3.15513,581
184,Nadja,1994,2.7912,313
186,Nine Months,1995,2.64839,10419
187,Party Girl,1995,3.25034,875
189,Reckless,1995,2.83225,304
190,Safe,1995,3.33927,953
192,The Show,1995,2.8148,79
193,Showgirls,1995,1.90414,7142
194,Smoke,1995,3.71472,5459
195,Something to Talk About,1995,2.91223,2938
196,Species,1995,2.61549,12993
198,Strange Days,1995,3.24196,8646
201,Three Wishes,1995,2.7679,343
202,Total Eclipse,1995,2.78488,414
204,Under Siege 2: Dark Territory,1995,2.65645,7882
205,Unstrung Heroes,1995,3.34864,1213
206,Unzipped,1995,3.26056,936
208,Waterworld,1995,2.61939,27377
209,White Man's Burden,1995,2.59858,681
210,Wild Bill,1995,2.68693,447
212,Bushwhacked,1995,2.26758,426
213,Burnt by the Sun (Utomlyonnye solntsem),1994,3.82283,1753
214,Before the Rain (Pred dozhdot),1994,3.81358,890
215,Before Sunrise,1995,3.74585,6582
216,Billy Madison,1995,2.96749,9048
218,Boys on the Side,1995,3.10892,3864
220,Castle Freak,1995,2.17834,290
222,Circle of Friends,1995,3.38798,5374
223,Clerks,1994,3.67032,24050
224,Don Juan DeMarco,1995,3.27488,7809
225,Disclosure,1994,3.13934,11592
226,Dream Man,1995,2.56263,37
227,Drop Zone,1994,2.9004,4189
228,Destiny Turns on the Radio,1995,2.42532,436
229,Death and the Maiden,1994,3.42109,2256
230,Dolores Claiborne,1995,3.45426,6729
231,Dumb & Dumber (Dumb and Dumber),1994,2.63482,31843
232,Eat Drink Man Woman (Yin shi nan nu),1994,3.89918,5620
233,Exotica,1994,3.32831,3204
234,Exit to Eden,1994,2.40731,2952
235,Ed Wood,1994,3.49547,15582
236,French Kiss,1995,3.15119,11357
237,Forget Paris,1995,3.06048,5770
238,Far From Home: The Adventures of Yellow Dog,1995,2.93784,766
240,Hideaway,1995,2.71343,779
241,Fluke,1995,2.78176,536
242,Farinelli: il castrato,1994,3.18286,1000
243,Gordy,1995,2.22894,424
244,Gumby: The Movie,1995,2.01407,277
245,The Glass Shield,1994,2.81996,239
246,Hoop Dreams,1994,3.85705,9739
247,Heavenly Creatures,1994,3.67608,7144
248,Houseguest,1994,2.82041,2866
249,Immortal Beloved,1994,3.53057,4542
250,Heavyweights (Heavy Weights),1995,2.81463,918
252,I.Q.,1994,3.06272,9280
253,Interview with the Vampire: The Vampire Chronicles,1994,3.34699,27577
254,Jefferson in Paris,1995,2.74402,574
256,Junior,1994,2.44198,9442
257,Just Cause,1995,3.2772,3542
259,Kiss of Death,1995,2.91105,1845
260,Star Wars: Episode IV - A New Hope,1977,3.93041,68717
261,Little Women,1994,3.44467,9656
263,Ladybird Ladybird,1994,3.546,368
265,Like Water for Chocolate (Como agua para chocolate),1992,3.76269,10781
266,Legends of the Fall,1994,3.29533,15759
267,Major Payne,1995,2.60544,3757
268,Little Odessa,1994,3.13973,681
269,My Crazy Life (Mi vida loca),1993,3.29346,550
270,Love Affair,1994,2.984,1185
271,Losing Isaiah,1995,3.17147,1138
273,Mary Shelley's Frankenstein (Frankenstein),1994,2.94536,6796
274,Man of the House,1995,2.589,1135
275,Mixed Nuts,1994,2.48578,1445
276,Milk Money,1994,2.78081,4968
277,Miracle on 34th Street,1994,3.17128,8574
278,Miami Rhapsody,1995,2.87463,1038
279,My Family,1995,3.53992,846
280,Murder in the First,1995,3.60121,4680
281,Nobody's Fool,1994,3.54211,3588
282,Nell,1994,3.21935,10402
283,New Jersey Drive,1995,2.82236,222
284,New York Cop (Nyû Yôku no koppu),1993,2.52245,34
285,Beyond Bedlam,1993,1.88031,80
286,Nemesis 2: Nebula,1995,1.73202,98
287,Nina Takes a Lover,1994,3.03085,305
288,Natural Born Killers,1994,2.96388,23259
289,Only You,1994,3.20971,2963
290,Once Were Warriors,1994,3.83409,3749
292,Outbreak,1995,3.27652,24760
293,Léon: The Professional (a.k.a. The Professional) (Léon),1994,3.97986,33680
296,Pulp Fiction,1994,4.01551,79672
297,Panther,1995,2.90367,249
298,Pushing Hands (Tui shou),1992,3.39773,227
299,Priest,1994,3.53742,2389
300,Quiz Show,1994,3.55587,18997
301,Picture Bride (Bijo photo),1994,3.3923,418
304,Roommates,1995,2.99166,652
305,Ready to Wear (Pret-A-Porter),1994,2.46638,3105
306,Three Colors: Red (Trois couleurs: Rouge),1994,3.91536,7058
307,Three Colors: Blue (Trois couleurs: Bleu),1993,3.81515,6616
308,Three Colors: White (Trzy kolory: Bialy),1994,3.75373,5085
310,Rent-a-Kid,1995,2.50865,231
311,Relative Fear,1994,2.29691,76
312,Stuart Saves His Family,1995,2.31907,1200
316,Stargate,1994,3.20187,30910
319,Shallow Grave,1994,3.63565,6727
320,Suture,1993,2.97097,299
321,Strawberry and Chocolate (Fresa y chocolate),1993,3.62347,834
322,Swimming with Sharks,1995,3.52465,2800
325,National Lampoon's Senior Trip,1995,2.35146,951
326,To Live (Huozhe),1994,3.89718,1293
327,Tank Girl,1995,2.47554,6691
328,Tales from the Crypt Presents: Demon Knight,1995,2.90019,2311
329,Star Trek: Generations,1994,3.13865,24615
330,Tales from the Hood,1995,2.5344,1415
331,Tom & Viv,1994,3.10856,495
332,Village of the Damned,1995,2.53158,2038
333,Tommy Boy,1995,3.11733,10852
334,Vanya on 42nd Street,1994,3.61746,1495
335,Underneath,1995,3.06951,384
337,What's Eating Gilbert Grape,1993,3.61892,17234
338,Virtuosity,1995,2.79291,4341
339,While You Were Sleeping,1995,3.3431,22111
341,Double Happiness,1994,3.42926,352
342,Muriel's Wedding,1994,3.29889,10735
344,Ace Ventura: Pet Detective,1994,2.71186,37453
346,Backbeat,1993,3.27328,1033
347,Bitter Moon,1992,3.24028,1548
348,Bullets Over Broadway,1994,3.55441,7399
349,Clear and Present Danger,1994,3.54665,27766
352,Crooklyn,1994,3.08559,1228
354,Cobb,1994,3.00249,1146
356,Forrest Gump,1994,3.89052,81491
357,Four Weddings and a Funeral,1994,3.48217,26709
358,Higher Learning,1995,3.06377,2075
359,I Like It Like That,1994,3.12156,256
360,I Love Trouble,1994,2.50733,1915
361,It Could Happen to You,1994,3.18864,4809
365,Little Buddha,1993,2.98392,1708
368,Maverick,1994,3.26121,16475
369,Mrs. Parker and the Vicious Circle,1994,3.13092,1010
370,Naked Gun 33 1/3: The Final Insult,1994,2.72539,13958
372,Reality Bites,1994,3.08492,7415
373,Red Rock West,1992,3.66393,3265
374,Richie Rich,1994,2.15703,4953
375,Safe Passage,1994,3.13248,230
377,Speed,1994,3.31385,41302
378,Speechless,1994,2.99221,2125
379,Timecop,1994,2.4854,5362
380,True Lies,1994,3.32948,41673
381,When a Man Loves a Woman,1994,3.22042,4476
382,Wolf,1994,2.877,5077
383,Wyatt Earp,1994,3.04244,4717
384,Bad Company,1995,2.76167,694
386,S.F.W.,1994,2.57527,333
388,Boys Life,1995,3.35915,509
390,Faster Pussycat! Kill! Kill!,1965,3.15714,841
391,Jason's Lyric,1994,3.00972,397
393,Street Fighter,1994,1.62397,2222
394,Coldblooded,1995,3.05969,132
395,Desert Winds,1995,2.83063,12
396,Fall Time,1995,2.29225,32
398,Frank and Ollie,1995,3.2441,52
399,Girl in the Cadillac,1995,1.97435,10
400,Homage,1995,2.27455,28
401,Mirage,1995,2.87117,17
402,Open Season,1996,2.52873,52
403,Two Crimes (Dos crímenes),1995,1.67838,15
404,Brother Minister: The Assassination of Malcolm X,1994,2.92966,70
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),1994,2.13145,3357
406,Federal Hill,1994,2.88902,66
407,In the Mouth of Madness,1995,2.98628,1993
408,8 Seconds,1994,2.97281,611
409,Above the Rim,1994,2.87166,420
410,Addams Family Values,1993,2.82073,17836
411,Martin Lawrence: You So Crazy,1994,2.37796,105
413,Airheads,1994,2.59233,5737
415,Another Stakeout,1993,2.63446,2938
416,Bad Girls,1994,2.484,1634
417,Barcelona,1994,3.34648,3007
418,Being Human,1993,2.42692,637
420,Beverly Hills Cop III,1994,2.52121,13942
421,Black Beauty,1994,3.06628,1631
422,Blink,1994,3.12724,1300
423,Blown Away,1994,2.82619,2184
424,Blue Chips,1994,2.53815,706
425,Blue Sky,1994,3.32295,791
426,Body Snatchers,1993,2.92698,3021
427,Boxing Helena,1993,2.24717,3078
429,Cabin Boy,1994,2.08207,1403
430,Calendar Girl,1993,2.13538,237
431,Carlito's Way,1993,3.60062,8879
432,City Slickers II: The Legend of Curly's Gold,1994,2.51892,11729
433,Clean Slate,1994,2.74513,1150
434,Cliffhanger,1993,2.86898,23089
435,Coneheads,1993,2.33189,13194
436,Color of Night,1994,2.38236,1185
437,Cops and Robbersons,1994,2.36521,1675
439,Dangerous Game,1993,2.18266,57
440,Dave,1993,3.49161,17918
441,Dazed and Confused,1993,3.52027,8204
442,Demolition Man,1993,2.86202,18088
444,Even Cowgirls Get the Blues,1993,2.14747,1193
445,Fatal Instinct,1993,2.66535,1743
446,Farewell My Concubine (Ba wang bie ji),1993,3.72523,3472
448,Fearless,1993,3.42054,2743
449,Fear of a Black Hat,1994,3.1917,642
450,With Honors,1994,3.1771,2750
451,Flesh and Bone,1993,2.87528,581
452,Widows' Peak,1994,3.43732,1082
453,For Love or Money,1993,2.97262,874
455,Free Willy,1993,2.35972,8275
456,Fresh,1994,3.68058,892
458,Geronimo: An American Legend,1993,2.97427,956
460,Getting Even with Dad,1994,2.16851,834
461,Go Fish,1994,3.12412,815
463,Guilty as Sin,1993,2.60471,369
464,Hard Target,1993,2.72407,3021
465,Heaven & Earth,1993,3.06441,680
466,Hot Shots! Part Deux,1993,2.70241,12947
467,Live Nude Girls,1995,3.06197,664
470,House Party 3,1994,1.83574,440
472,I'll Do Anything,1994,2.69656,663
473,In the Army Now,1994,2.00284,1292
474,In the Line of Fire,1993,3.63082,17996
475,In the Name of the Father,1993,3.80587,8580
477,What's Love Got to Do with It?,1993,3.41838,4128
478,Jimmy Hollywood,1994,2.21834,253
479,Judgment Night,1993,2.74833,1136
480,Jurassic Park,1993,3.52165,64144
481,Kalifornia,1993,3.18112,4993
482,Killing Zoe,1994,3.24793,2508
483,King of the Hill,1993,3.64665,538
484,Lassie,1994,2.5093,692
485,Last Action Hero,1993,2.57244,13156
486,Life with Mikey,1993,2.45542,559
487,Lightning Jack,1994,2.33439,564
488,M. Butterfly,1993,3.20212,525
489,Made in America,1993,2.57626,2765
490,Malice,1993,3.22992,2935
492,Manhattan Murder Mystery,1993,3.52447,3038
493,Menace II Society,1993,3.46521,3450
494,Executive Decision,1996,3.19183,11284
495,In the Realm of the Senses (Ai no corrida),1976,3.18927,685
496,What Happened Was...,1994,2.98522,383
497,Much Ado About Nothing,1993,3.73804,13084
498,Mr. Jones,1993,2.55574,362
499,Mr. Wonderful,1993,2.61905,378
500,Mrs. Doubtfire,1993,3.20566,34194
501,Naked,1993,3.62592,1923
504,No Escape,1994,2.7882,1080
505,North,1994,2.25334,1224
506,Orlando,1992,3.27845,1272
508,Philadelphia,1993,3.66965,19902
510,Poetic Justice,1993,2.58399,822
513,Radioland Murders,1994,2.70523,521
516,Renaissance Man,1994,2.92471,3147
517,Rising Sun,1993,2.97878,3298
519,RoboCop 3,1993,1.92049,4697
520,Robin Hood: Men in Tights,1993,2.83499,14245
521,Romeo Is Bleeding,1993,3.14149,1987
522,Romper Stomper,1992,3.38608,1228
523,Ruby in Paradise,1993,3.48247,833
524,Rudy,1993,3.35198,7233
527,Schindler's List,1993,4.10736,60411
529,Searching for Bobby Fischer,1993,3.7392,10037
530,Second Best,1994,3.07587,30
532,Serial Mom,1994,2.81517,5555
534,Shadowlands,1993,3.76855,4460
535,Short Cuts,1993,3.62494,5170
537,Sirens,1994,2.99097,3085
538,Six Degrees of Separation,1993,3.55535,4684
539,Sleepless in Seattle,1993,3.33152,28137
540,Sliver,1993,2.51155,4550
541,Blade Runner,1982,3.97525,36702
542,Son in Law,1993,2.57626,3309
543,So I Married an Axe Murderer,1993,3.03207,11396
544,Striking Distance,1993,2.76145,2058
546,Super Mario Bros.,1993,1.75359,5371
547,Surviving the Game,1994,2.58909,761
548,Terminal Velocity,1994,2.72542,2605
549,Thirty-Two Short Films About Glenn Gould,1993,3.70966,1326
550,Threesome,1994,2.88932,3063
553,Tombstone,1993,3.55902,14333
554,Trial by Jury,1994,2.91661,463
555,True Romance,1993,3.67682,15314
561,Killer (Bulletproof Heart),1994,3.15077,199
562,Welcome to the Dollhouse,1995,3.60919,5787
563,Germinal,1993,3.28425,313
564,Chasers,1994,2.094,307
565,Cronos,1993,3.02898,831
566,Naked in New York,1994,2.57645,139
567,Kika,1993,3.13813,363
568,Bhaji on the Beach,1993,3.43829,339
569,Little Big League,1994,2.76667,1547
572,Foreign Student,1994,2.54635,30
574,Spanking the Monkey,1994,3.10425,1276
576,Fausto,1993,2.15992,24
577,Andre,1994,2.56001,589
580,Princess Caraboo,1994,2.91327,510
582,Métisse (Café au Lait),1993,3.07439,119
583,Dear Diary (Caro Diario),1994,3.26305,247
584,I Don't Want to Talk About It (De eso no se habla),1993,2.78113,28
586,Home Alone,1990,2.91837,29540
587,Ghost,1990,3.2456,28516
588,Aladdin,1992,3.54259,43373
589,Terminator 2: Judgment Day,1991,3.798,57379
590,Dances with Wolves,1990,3.56014,41615
591,Tough and Deadly,1995,1.77478,29
592,Batman,1989,3.27698,44110
594,Snow White and the Seven Dwarfs,1937,3.39909,17940
595,Beauty and the Beast,1991,3.50158,35723
596,Pinocchio,1940,3.28043,12742
597,Pretty Woman,1990,3.23747,34234
598,Window to Paris (Okno v Parizh),1994,3.34665,146
600,Love and a .45,1994,2.74081,278
604,Criminals,1996,1.41421,6
605,One Fine Day,1996,3.10912,3255
606,Candyman: Farewell to the Flesh,1995,2.27402,1407
607,Century,1993,2.29279,16
608,Fargo,1996,3.96469,47823
609,Homeward Bound II: Lost in San Francisco,1996,2.75493,2317
610,Heavy Metal,1981,3.15501,7289
611,Hellraiser: Bloodline,1996,2.19405,1714
613,Jane Eyre,1996,3.42113,2227
614,Loaded,1994,2.85933,144
615,Bread and Chocolate (Pane e cioccolata),1973,3.66654,578
618,Two Much,1995,2.47626,343
619,Ed,1996,2.21321,663
620,Scream of Stone (Cerro Torre: Schrei aus Stein),1991,3.1547,39
621,My Favorite Season,1993,3.42177,299
625,Asfour Stah,1990,3.09026,25
628,Primal Fear,1996,3.64266,10950
629,Rude,1995,2.94746,23
630,Carried Away,1996,3.06301,200
631,All Dogs Go to Heaven 2,1996,2.40069,2070
632,Land and Freedom (Tierra y libertad),1995,3.70251,361
633,Denise Calls Up,1995,3.1373,307
634,Theodore Rex,1995,1.92088,309
636,Frisk,1995,2.65259,34
637,Sgt. Bilko,1996,2.59646,5371
638,Jack and Sarah,1995,3.06375,534
639,Girl 6,1996,2.70692,1057
640,Diabolique,1996,2.78467,2861
642,Roula,1995,1.77946,12
643,Peanuts - Die Bank zahlt alles,1996,1.91587,21
644,Happy Weekend,1996,1.93158,15
645,Nelly & Monsieur Arnaud,1995,3.43566,274
647,Courage Under Fire,1996,3.40783,7345
648,Mission: Impossible,1996,3.24681,37035
649,Cold Fever (Á köldum klaka),1995,3.57015,131
650,Moll Flanders,1996,3.27784,1233
653,Dragonheart,1996,3.02433,13693
654,And Nobody Weeps for Me (Und keiner weint mir nach),1996,2.2118,16
655,My Mother's Courage (Mutters Courage),1995,1.96705,18
656,Eddie,1996,2.58686,1138
657,Yankee Zulu,1994,2.24408,36
658,Billy's Holiday,1995,2.54604,47
659,Purple Noon (Plein soleil),1960,3.51475,454
660,August,1996,2.67456,112
661,James and the Giant Peach,1996,3.10572,9943
662,Fear,1996,3.0512,2646
663,Kids in the Hall: Brain Candy,1996,3.14865,3042
664,Faithful,1996,2.7866,301
665,Underground,1995,3.74139,1269
666,All Things Fair (Lust och fägring stor),1995,3.27055,161
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),1996,2.19052,998
668,Song of the Little Road (Pather Panchali),1955,3.8357,854
671,Mystery Science Theater 3000: The Movie,1996,3.44518,5883
672,Tarantella,1995,2.09132,24
673,Space Jam,1996,2.47033,10707
674,Barbarella,1968,2.72345,3142
675,Hostile Intentions,1994,1.89154,26
676,They Bite,1996,2.25471,25
678,Some Folks Call It a Sling Blade,1993,3.93172,2479
681,Coup de torchon (Clean Slate),1981,3.37265,323
682,Tigrero: A Film That Was Never Made,1994,2.98391,62
684,Windows,1980,2.14699,23
685,It's My Party,1996,3.31998,502
687,Country Life,1994,2.77336,94
688,Operation Dumbo Drop,1995,2.31952,2700
691,Mrs. Winterbourne,1996,2.82071,1110
692,Solo,1996,2.02536,843
693,Under the Domim Tree (Etz Hadomim Tafus),1994,2.75811,26
695,True Crime,1996,2.98716,768
696,Butterfly Kiss,1995,2.9643,114
697,Feeling Minnesota,1996,2.54119,1045
698,Delta of Venus,1995,2.52229,143
699,To Cross the Rubicon,1991,1.89489,15
700,Angus,1995,3.06111,1132
701,Daens,1992,2.82758,102
702,Faces,1968,3.55779,406
703,Boys,1996,2.58406,335
705,Cosi,1996,3.35357,394
706,Sunset Park,1996,2.86885,236
707,Mulholland Falls,1996,2.91191,4201
709,Oliver & Company,1988,3.14326,2720
710,Celtic Pride,1996,2.47513,1172
711,Flipper,1996,2.32577,1989
712,Captives,1994,3.25018,172
713,Of Love and Shadows,1994,3.10029,127
714,Dead Man,1995,3.6827,3906
716,Switchblade Sisters,1975,2.57003,292
717,Mouth to Mouth (Boca a boca),1995,2.92531,85
719,Multiplicity,1996,2.75447,7148
720,Wallace & Gromit: The Best of Aardman Animation,1996,3.88217,7719
721,Halfmoon (Paul Bowles - Halbmond),1995,2.61857,15
723,Two Friends,1986,2.99249,36
726,Last Dance,1996,2.91583,491
727,War Stories,1995,2.77097,24
728,Cold Comfort Farm,1995,3.66165,3207
730,Low Life,1994,2.6933,62
731,Heaven's Prisoners,1996,2.7059,781
732,Original Gangstas,1996,2.48289,219
734,Getting Away With Murder,1996,2.30487,54
735,Cemetery Man (Dellamorte Dellamore),1994,3.23805,1127
736,Twister,1996,2.98578,31040
737,Barb Wire,1996,1.78043,4238
739,Honey Moon (Honigmond),1996,1.69134,11
741,Ghost in the Shell (Kôkaku kidôtai),1995,3.81257,8381
742,Thinner,1996,2.47498,1850
743,Spy Hard,1996,2.46863,5784
744,Brothers in Trouble,1995,2.5212,34
745,Wallace & Gromit: A Close Shave,1995,3.90477,12241
746,Force of Evil,1948,3.55214,311
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,4.07629,26714
751,Careful,1992,3.01735,154
752,Vermont Is For Lovers,1992,2.47381,39
754,Gold Diggers: The Secret of Bear Mountain,1995,2.69609,351
755,Kim,1950,3.13878,138
756,Carmen Miranda: Bananas Is My Business,1994,2.96585,103
757,Ashes of Time (Dung che sai duk),1994,3.26945,244
759,Maya Lin: A Strong Clear Vision,1994,3.62706,340
760,Stalingrad,1993,3.54438,907
762,Striptease,1996,2.11215,8959
764,Heavy,1995,3.18754,541
765,Jack,1996,2.78579,4775
766,I Shot Andy Warhol,1996,3.24868,1648
768,Someone Else's America,1995,2.64271,33
769,Marlene Dietrich: Shadow and Light,1996,3.35677,127
770,Costa Brava,1946,1.99069,25
772,Quartier Mozart,1992,2.49411,31
773,Touki Bouki,1973,3.05101,44
774,Wend Kuuni (a.k.a. God's Gift),1982,2.23685,32
775,Spirits of the Dead,1968,2.63201,147
776,Babyfever,1994,2.64225,42
777,Pharaoh's Army,1995,2.51084,30
778,Trainspotting,1996,3.8612,28702
779,'Til There Was You,1997,2.53731,475
780,Independence Day (a.k.a. ID4),1996,3.15097,48902
781,Stealing Beauty,1996,3.23708,1878
785,Kingpin,1996,3.0555,10260
786,Eraser,1996,2.93238,15412
793,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud),1993,2.82348,109
794,Midnight Dancers (Sibak),1994,3.04522,99
795,Somebody to Love,1994,3.01759,96
798,Daylight,1996,2.61169,2959
800,Lone Star,1996,3.91114,6537
801,Harriet the Spy,1996,2.75924,1540
802,Phenomenon,1996,3.28925,12436
803,Walking and Talking,1996,3.40629,540
804,She's the One,1996,2.8721,2081
806,American Buffalo,1996,2.93578,523
808,Alaska,1996,2.9705,752
809,Fled,1996,2.60302,1288
810,Kazaam,1996,1.47307,1842
812,Magic Hunter (Büvös vadász),1994,2.20779,30
813,Larger Than Life,1996,2.5243,450
815,Power 98,1996,1.80995,25
816,Two Deaths,1995,2.83364,71
819,Stefano Quantestorie,1993,3.08031,54
822,Hedd Wyn,1992,2.71517,33
824,Kaspar Hauser,1993,3.65185,357
825,Regular Guys (Echte Kerle),1996,2.52773,24
826,Women Robbers (Diebinnen),1995,1.81212,20
829,Joe's Apartment,1996,2.35171,1726
831,Stonewall,1995,3.28679,208
832,Ransom,1996,3.29518,13849
833,High School High,1996,2.42882,1354
834,Phat Beach,1996,2.2142,182
835,Foxfire,1996,3.01436,889
836,Chain Reaction,1996,2.69034,4620
837,Matilda,1996,3.23853,5800
838,Emma,1996,3.60755,7420
840,House Arrest,1996,2.41089,642
842,Tales from the Crypt Presents: Bordello of Blood,1996,2.48587,1901
843,Lotto Land,1995,2.79033,55
846,Flirt,1995,3.28351,378
